Variable,Original Variable,Data Type,Number of Entries,Missing Values,Description,Example Values,Mean,Min,Max,Std Dev,25%,50%,75%
income_below_30k,income_less_than_30k,int64,5521,0 (0.0%),Number/proportion with income below 30K (out of 10),"0, 2, 4, 1, 5",2.571,0,9,2.085,1,2,4
income_30k_to_45k,income_30k_to_45k,int64,5521,0 (0.0%),Number/proportion with income between 30K-45K (out of 10),"4, 0, 5, 2, 3",3.531,0,9,1.879,2,4,5
income_45k_to_75k,income_45k_to_75k,int64,5521,0 (0.0%),Number/proportion with income between 45K-75K (out of 10),"5, 0, 3, 9, 1",2.738,0,9,1.932,1,3,4
income_75k_to_122k,income_75k_to_122k,int64,5521,0 (0.0%),Number/proportion with income between 75K-122K (out of 10),"0, 2, 1, 4, 3",0.797,0,9,1.166,0,0,1
income_above_123k,income_above_123k,int64,5521,0 (0.0%),Number/proportion with income above 123K (out of 10),"0, 2, 1, 3, 4",0.203,0,7,0.545,0,0,0
mean_income,average_income,int64,5521,0 (0.0%),Average income value of the segment,"4, 5, 3, 6, 2",3.788,0,9,1.317,3,4,4
purchasing_power_group,purchasing_power_class,int64,5521,0 (0.0%),Purchasing power classification category,"3, 4, 5, 7, 2",4.244,1,8,2.003,3,4,6
private_third_party,private_third_party_insurance_contribution,object,5521,9 (0.16%),Amount contributed to private third-party insurance,"0, 50-99, Jan-49, 100-199",0,0,Jan-49,Na,Na,Na,Na
business_third_party,business_third_party_insurance_contribution,object,5521,0 (0.0%),Amount contributed to business third-party insurance,"0, Jan-49, 100-199, 200-499, 50-99",0,0,Jan-49,Na,Na,Na,Na
agricultural_third_party,agricultural_third_party_insurance_contribution,object,5521,0 (0.0%),Amount contributed to agricultural third-party insurance,"0, 100-199, 200-499, 50-99",0,0,50-99,Na,Na,Na,Na
car_insurance,car_policy_contribution,int64,5521,0 (0.0%),Amount contributed to car insurance policies,"6, 0, 5, 7, 8",2.98,0,8,2.921,0,5,6
van_insurance,delivery_van_policy_contribution,float64,5521,19 (0.34%),Amount contributed to delivery van insurance policies,"0, 5, 6, 7",0.051,0,7,0.546,0,0,0
bike_insurance,motorcycle_scooter_policy_contribution,int64,5521,0 (0.0%),Amount contributed to motorcycle/scooter insurance policies,"0, 4, 5, 6, 7",0.174,0,7,0.892,0,0,0
lorry_insurance,lorry_policy_contribution,int64,5521,0 (0.0%),Amount contributed to lorry insurance policies,"0, 6, 4, 9",0.01,0,9,0.251,0,0,0
trailer_insurance,trailer_policy_contribution,float64,5521,19 (0.34%),Amount contributed to trailer insurance policies,"0, 2, 1, 3, 5",0.021,0,5,0.212,0,0,0
tractor_insurance,tractor_policy_contribution,int64,5521,0 (0.0%),Amount contributed to tractor insurance policies,"0, 3, 5, 4, 6",0.095,0,6,0.614,0,0,0
agrimachine_insurance,agricultural_machine_policy_contribution,int64,5521,0 (0.0%),Amount contributed to agricultural machine insurance policies,"0, 2, 6, 4, 3",0.014,0,6,0.235,0,0,0
moped_insurance,moped_policy_contribution,float64,5521,52 (0.94%),Amount contributed to moped insurance policies,"0, 3.251, 3.34, 3.915, 3.834",0.249,0,6.059,0.939,0,0,0
life_insurance,life_insurance_contribution,float64,5521,60 (1.09%),Amount contributed to life insurance policies,"0, 4.019, 4.91, 4.756, 3.698",0.225,0,9.048,1.018,0,0,0
private_accident_insurance,private_accident_insurance_contribution,float64,5521,52 (0.94%),Amount contributed to personal accident insurance policies,"0, 2.752, 2.651, 2.565, 2.236",0.016,0,6.787,0.239,0,0,0
family_accident_insurance,family_accident_insurance_contribution,float64,5521,52 (0.94%),Amount contributed to family accident insurance policies,"0, 2.107, 2.284, 3.801, 3.547",0.017,0,3.987,0.229,0,0,0
disability_insurance,disability_insurance_contribution,float64,5521,72 (1.3%),Amount contributed to disability insurance policies,"0, 6.198, 6.293, 6.414, 4.331",0.027,0,7.974,0.421,0,0,0
fire_insurance,fire_insurance_contribution,float64,5521,55 (1.0%),Amount contributed to fire insurance policies,"5.681, 2.022, 2.482, 2.427, 6.11",2.14,0,62.697,2.553,0,2.179,4.067
surfboard_insurance,surfboard_insurance_contribution,float64,5521,52 (0.94%),Amount contributed to surfboard insurance policies,"0, 1.766, 1.467, 3.125",0.001,0,3.125,0.052,0,0,0
boat_insurance,boat_insurance_contribution,float64,5521,52 (0.94%),Amount contributed to boat insurance policies,"0, 1.686, 4.538, 1.842, 6.382",0.021,0,6.582,0.301,0,0,0
bicycle_insurance,bicycle_insurance_contribution,float64,5521,52 (0.94%),Amount contributed to bicycle insurance policies,"0, 1.549, 1.239, 1.851, 1.348",0.04,0,1.968,0.246,0,0,0
property_insurance,property_insurance_contribution,float64,5521,52 (0.94%),Amount contributed to property insurance policies,"0, 2.745, 2.13, 1.089, 3.267",0.02,0,6.754,0.25,0,0,0
social_security_insurance,social_security_insurance_contribution,float64,5521,52 (0.94%),Amount contributed to social security insurance policies,"0, 4.804, 4.69, 4.381, 4.199",0.055,0,5.707,0.471,0,0,0
private_third_party_policies_count,number_private_third_party_insurance,float64,5521,52 (0.94%),Total count of private third-party insurance policies held,"0, 2, 1",0.404,0,2,0.493,0,0,1
business_third_party_policies_count,number_business_third_party_insurance,float64,5521,52 (0.94%),Total count of business third-party insurance policies held,"0, 1, 5",0.015,0,5,0.136,0,0,0
agricultural_third_party_policies_count,number_agricultural_third_party_insurance,float64,5521,52 (0.94%),Total count of agricultural third-party insurance policies held,"0, 1",0.021,0,1,0.144,0,0,0
car_policy_count,number_car_policies,int64,5521,0 (0.0%),Total count of car insurance policies held,"1, 0, 2, 7, 3",0.564,0,7,0.605,0,1,1
van_policy_count,number_delivery_van_policies,int64,5521,0 (0.0%),Total count of delivery van insurance policies held,"0, 1, 4, 2, 3",0.011,0,4,0.133,0,0,0
bike_policy_count,number_motorcycle_scooter_policies,int64,5521,0 (0.0%),Total count of motorcycle/scooter insurance policies held,"0, 1, 2",0.039,0,2,0.203,0,0,0
lorry_policy_count,number_lorry_policies,int64,5521,0 (0.0%),Total count of lorry insurance policies held,"0, 1, 2, 3",0.002,0,3,0.065,0,0,0
trailer_policy_count,number_trailer_policies,float64,5521,32 (0.58%),Total count of trailer insurance policies held,"0, 1, 2, 3",0.012,0,3,0.126,0,0,0
tractor_policy_count,number_tractor_policies,float64,5521,32 (0.58%),Total count of tractor insurance policies held,"0, 1, 2, 3, 4",0.035,0,4,0.246,0,0,0
agrimachine_policy_count,number_agricultural_machine_policies,float64,5521,32 (0.58%),Total count of agricultural machine insurance policies held,"0, 1, 3, 2, 6",0.007,0,6,0.128,0,0,0
moped_policy_count,number_moped_policies,float64,5521,32 (0.58%),Total count of moped insurance policies held,"0, 1, 2",0.07,0,2,0.265,0,0,0
life_insurance_count,number_life_insurances,float64,5521,32 (0.58%),Total count of life insurance policies held,"0, 1, 2, 8, 3",0.076,0,8,0.375,0,0,0
personal_accident_count,number_private_accident_insurances,float64,5521,32 (0.58%),Total count of personal accident insurance policies held,"0, 1",0.005,0,1,0.073,0,0,0
family_accident_count,number_family_accident_insurances,float64,5521,32 (0.58%),Total count of family accident insurance policies held,"0, 1",0.006,0,1,0.077,0,0,0
disability_insurance_count,number_disability_insurances,int64,5521,0 (0.0%),Total count of disability insurance policies held,"0, 1, 2",0.005,0,2,0.079,0,0,0
fire_insurance_count,number_fire_insurances,int64,5521,0 (0.0%),Total count of fire insurance policies held,"1, 0, 2, 3, 4",0.569,0,7,0.56,0,1,1
surfboard_insurance_count,number_surfboard_insurances,int64,5521,0 (0.0%),Total count of surfboard insurance policies held,"0, 1",0.001,0,1,0.023,0,0,0
boat_insurance_count,number_boat_insurances,int64,5521,0 (0.0%),Total count of boat insurance policies held,"0, 2, 1",0.006,0,2,0.081,0,0,0
bicycle_insurance_count,number_bicycle_insurances,int64,5521,0 (0.0%),Total count of bicycle insurance policies held,"0, 1, 2, 3",0.033,0,3,0.215,0,0,0
property_insurance_count,number_property_insurances,float64,5521,49 (0.89%),Total count of property insurance policies held,"0, 1, 2",0.008,0,2,0.092,0,0,0
social_security_count,number_social_security_insurances,float64,5521,49 (0.89%),Total count of social security insurance policies held,"0, 1, 2",0.014,0,2,0.12,0,0,0
mobile_home_policy_count,number_mobile_home_policies,float64,5521,74 (1.34%),Total count of mobile home insurance policies held,"0, 1",0.06,0,1,0.238,0,0,0
mobile_home_policy,mobile_home_policies,object,5521,65 (1.18%),Have or Dont have a mobile home insurance policy,"No Policy, Has Policy",No Policy,Has Policy,No Policy,Na,Na,Na,Na
